video_id,gloss,path_to_npy_file
contact_12876_rotated_vjepa.npz,contact,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/contact_12876_rotated_vjepa.npz
headache_26834_orig_vjepa.npz,headache,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/headache_26834_orig_vjepa.npz
ready_46305_bright_vjepa.npz,ready,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/ready_46305_bright_vjepa.npz
science_49637_bright_vjepa.npz,science,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/science_49637_bright_vjepa.npz
talk_56830_rotated_vjepa.npz,talk,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/talk_56830_rotated_vjepa.npz
late_32304_bright_vjepa.npz,late,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/late_32304_bright_vjepa.npz
short_51236_orig_vjepa.npz,short,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/short_51236_orig_vjepa.npz
bowling_07389_orig_vjepa.npz,bowling,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/bowling_07389_orig_vjepa.npz
thin_57953_orig_vjepa.npz,thin,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/thin_57953_orig_vjepa.npz
mean_35292_bright_vjepa.npz,mean,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/mean_35292_bright_vjepa.npz
silly_51706_rotated_vjepa.npz,silly,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/silly_51706_rotated_vjepa.npz
speech_53699_orig_vjepa.npz,speech,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/speech_53699_orig_vjepa.npz
can_08942_bright_vjepa.npz,can,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/can_08942_bright_vjepa.npz
choose_10637_orig_vjepa.npz,choose,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/choose_10637_orig_vjepa.npz
backpack_04624_rotated_vjepa.npz,backpack,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/backpack_04624_rotated_vjepa.npz
inform_29647_bright_vjepa.npz,inform,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/inform_29647_bright_vjepa.npz
explain_20445_bright_vjepa.npz,explain,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/explain_20445_bright_vjepa.npz
example_20070_rotated_vjepa.npz,example,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/example_20070_rotated_vjepa.npz
right_48109_rotated_vjepa.npz,right,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/right_48109_rotated_vjepa.npz
hair_26162_rotated_vjepa.npz,hair,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/hair_26162_rotated_vjepa.npz
daughter_14752_rotated_vjepa.npz,daughter,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/daughter_14752_rotated_vjepa.npz
cow_13703_rotated_vjepa.npz,cow,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/cow_13703_rotated_vjepa.npz
paper_41027_orig_vjepa.npz,paper,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/paper_41027_orig_vjepa.npz
hour_28143_rotated_vjepa.npz,hour,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/hour_28143_rotated_vjepa.npz
police_43522_rotated_vjepa.npz,police,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/police_43522_rotated_vjepa.npz
science_49633_rotated_vjepa.npz,science,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/science_49633_rotated_vjepa.npz
slow_52510_rotated_vjepa.npz,slow,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/slow_52510_rotated_vjepa.npz
good_25070_bright_vjepa.npz,good,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/good_25070_bright_vjepa.npz
black_06476_orig_vjepa.npz,black,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/black_06476_orig_vjepa.npz
last_32250_orig_vjepa.npz,last,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/last_32250_orig_vjepa.npz
tall_56843_rotated_vjepa.npz,tall,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/tall_56843_rotated_vjepa.npz
bitter_06439_rotated_vjepa.npz,bitter,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/bitter_06439_rotated_vjepa.npz
president_44369_orig_vjepa.npz,president,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/president_44369_orig_vjepa.npz
order_40172_rotated_vjepa.npz,order,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/order_40172_rotated_vjepa.npz
brother_07938_rotated_vjepa.npz,brother,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/brother_07938_rotated_vjepa.npz
hour_28138_orig_vjepa.npz,hour,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/hour_28138_orig_vjepa.npz
black_06474_orig_vjepa.npz,black,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/black_06474_orig_vjepa.npz
disappear_16443_orig_vjepa.npz,disappear,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/disappear_16443_orig_vjepa.npz
cousin_13646_rotated_vjepa.npz,cousin,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/cousin_13646_rotated_vjepa.npz
environment_19406_bright_vjepa.npz,environment,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/environment_19406_bright_vjepa.npz
last_32254_bright_vjepa.npz,last,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/last_32254_bright_vjepa.npz
girl_24605_bright_vjepa.npz,girl,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/girl_24605_bright_vjepa.npz
practice_44081_orig_vjepa.npz,practice,/home/dell/Desktop/ASLVideoTranslate/data/selected_videos/practice_44081_orig_vjepa.npz
